Issues found: 489
Row 296: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 297: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 298: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 299: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 300: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 301: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 302: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 303: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 304: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 305: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 306: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 307: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 308: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 309: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 310: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 311: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 312: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 313: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 314: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 315: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 316: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 317: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 318: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 319: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 320: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 321: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 322: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 323: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 324: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 325: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 326: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 327: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 328: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 329: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 330: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 331: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 332: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 333: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 334: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 335: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 336: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 337: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 338: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 339: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 340: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 341: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 342: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 343: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 344: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 345: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 346: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 347: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 348: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 349: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 350: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 351: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 352: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 353: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 354: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 355: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 356: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 357: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 358: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 359: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 360: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 361: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 362: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 363: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 364: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 365: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 366: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 367: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 368: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 369: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 370: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 371: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 372: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 373: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 374: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 375: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 376: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 377: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 378: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 379: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 380: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 381: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 382: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 383: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 384: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 385: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 386: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 387: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 388: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 389: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 390: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 391: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 392: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 393: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 394: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 395: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 396: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 397: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 398: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 399: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 400: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 401: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 402: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 403: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 404: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 405: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 406: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 407: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 408: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 409: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
